Row Number,Card ID,Name,Faction,Rarity,Type,Subtype,Cost,Power,Toughness,Abilities,Flavor Text,Set/Edition
81,SRP-BR-001-A-R,Espen Industries Founder,EspenLock,Rare,Artifact,Relic,4,0,0,"[Relic] Artifact — Non-combat. (Pay: Tap, Sacrifice this) → Draw 2 cards. Once per turn, gain 1 Energy. At the start of combat, discard 1 card.",The founder of Espen Industries is rumored to be still alive but no one knows where.,SRP: Bitterroot
82,SRP-BR-002-A-R,Lock & Sons Trade Charter,EspenLock,Uncommon,Artifact,Relic,2,0,0,"[Charter] Artifact — For each unique faction in play, generate that number of Resources of your choice.",The charter that started it all. This parchment grants the holder supply contracts from the major companies.,SRP: Bitterroot
83,SRP-BR-001-S-R,Cult of Warlock Prayer Sheet,COW,Uncommon,Spell,Ritual,1,0,0,"[Prayer Sheet] Character — Penitent you control get +1/+0.
[Rite] (Pay: 1 Faith, Tap, Sacrifice this) → Create a 1/1 Penitent. Once per turn, add 1 Resource of any type. Once per turn, search your deck for a Resource.","A relic of the 'old days', this prayer sheet is rumored to be owned by Warlock himself.",SRP: Bitterroot
84,SRP-BR-002-S-R,Mutant Behemoth Krask,COW,Rare,Spell,Ritual,5,0,0,[Behemoth’s Shadow] Enter: All COW Units get [Trample] this turn. Pay 1 Faith → draw 1 card.,This behemoth grew out of the mass of a flower. No one knows how it came to be but many stay out of its way.,SRP: Bitterroot
85,SRP-BR-001-C-M,Mutant Ascendant Mireborn,COW,Rare,Creature,Mutant,4,0,0,"[Mireborn’s Murmur] Character — End of turn: if a Unit died this turn, put a Faith on target Unit. When this leaves play, gain 1 Resource of your choice.",One of the first Ascendants to walk the path. Any mutant that comes into its presence is said to hear voices.,SRP: Bitterroot
86,SRP-BR-002-C-M,Aberrant Screecher,COW,Uncommon,Creature,Mutant,2,0,0,"[Quiet Before the Strike] Character — (Pay: Tap, Sacrifice this) → Deal 2 dmg to target Unit. If you control another Faction card, heal 2 dmg from a target unit.","Despite its name, this mutant is rather quiet until it strikes it target.",SRP: Bitterroot
87,SRP-BR-003-C-M,Twisted Observer,COW,Uncommon,Creature,Mutant,3,0,0,"[Twisted Insight] Character — Enter: look at the top 3 cards of your deck; put one into your hand. Once per turn, return target card from graveyard to your hand. Once per turn, discard 1 card.",One of the older observers. They take pleasure in stripping the flesh from a human corpse.,SRP: Bitterroot
88,SRP-BR-003-A-R,Observer Prototype Relic,EspenLock,Uncommon,Artifact,Relic,2,0,0,"[Observer Relic] Artifact — (Pay: 1 Faith, Tap) → Scry 2. Pay 1 Faith → add 1 Resource of any type. If you control another Faction card, prevent the next 1 dmg to a friendly unit.",Espen Industries prototype for scouting areas while maintaining a low profile.,SRP: Bitterroot
89,SRP-BR-001-A-E,Bitterroot Map Fragment,EspenLock,Uncommon,Artifact,Equipment,3,0,0,"[Map Fragment] Artifact — (Pay: Tap) → Reveal the top card of your deck; if it’s a Location/Artifact, draw it. Once per turn, gain 1 Energy. Once per turn, reveal the top card of your deck, you may play it.",A fragment of a map for the Bitterroot Valley.,SRP: Bitterroot
90,SRP-BR-002-A-E,Rust Runner Banner,Survivors,Rare,Artifact,Equipment,3,0,0,"[Runner Colors] Artifact — Survivors you control get +1/+0 while attacking. Pay 1 Supplies → reveal the top card of your deck, you may play it.",A Rust Runner Banner. Do NOT let them catch you with this.,SRP: Bitterroot
91,SRP-BR-003-A-E,Ancient Codelock,EspenLock,Uncommon,Artifact,Equipment,2,0,0,"[Ancient Lock] Character — (Pay: Tap) → Target Unit gains Ward 1 this turn. At the start of combat, discard 1 card. Pay 1 Energy → gain 2 Energy.",An ancient stone codelock. Where did it come from? Who made it?,SRP: Bitterroot
92,SRP-BR-004-A-E,Corroded Key,STAG,Uncommon,Artifact,Equipment,2,0,0,"[Corrosion] Artifact — Enter: put a −1/−0 Rust counter on up to two enemy Units this turn. When this leaves play, heal 2 dmg from a target unit.",A key that has been corroded by Chromium.,SRP: Bitterroot
93,SRP-BR-004-A-R,A Survivalist’s Token,Survivors,Uncommon,Artifact,Relic,1,0,0,"[Survivalist’s Token] Artifact — (Pay: Tap, Sacrifice this) → Gain 2 Supplies. Once per turn, prevent the next 1 dmg to a friendly unit. Once per turn, create a 1/1 Token under your control.",A token from someone who has survived in the wasteland for a long time.,SRP: Bitterroot
94,SRP-BR-005-A-R,The Bitterroot Seed,COW,Rare,Artifact,Relic,4,0,0,"[The Seed] Artifact — Enter: Scry 2; End of turn: if you scryed this turn, gain 1 Faith. If you control another Faction card, add 1 Resource of any type. When this leaves play, return target card from graveyard to your hand.",The seed which sprung to life the flower in Hawkins. The beginning and the end.,SRP: Bitterroot
95,SRP-BR-001-S-A,Warlock’s Sermon,COW,Rare,Spell,Aura,3,0,0,"[Sermon] Character — (Pay: 1 Faith, Tap) → Your Units get +1/+0 this turn. Whenever this enters play, prevent the next 1 dmg to a friendly unit. At the start of combat, draw 1 card.",A sermon from Warlock himself. Notable passages are to not hoard objects in the world.,SRP: Bitterroot
96,SRP-BR-006-A-R,Survivor Diary,Survivors,Uncommon,Artifact,Relic,2,0,0,"[Diary Pages] Artifact — (Pay: Tap) → Draw a card; then discard a card. Whenever this enters play, prevent the next 1 dmg to a friendly unit. Tap: search your deck for a Resource.",A diary from a wasteland survivor. Tucked away in a hidden space.,SRP: Bitterroot
97,SRP-BR-007-A-R,Founders Pact,Survivors,Rare,Artifact,Relic,4,0,0,"[Founders’ Oath] Artifact — Enter: create a 1/1 Townsfolk token.
[Covenant] Townsfolk you control get +0/+1. If you control another Faction card, heal 2 dmg from a target unit. When this leaves play, tap target enemy unit.",A common set of gear used by survivors to start a town.,SRP: Bitterroot
98,SRP-BR-002-S-A,Angel’s Tear,COW,Uncommon,Spell,Aura,2,0,0,"[Angel’s Tear] Character — (Pay: Tap, Sacrifice this) → Heal 4 to target Unit. When this leaves play, tap target enemy unit.",It is said that when you kill a mature alpha it sheds a tear that can be collected.,SRP: Bitterroot
99,SRP-BR-009-C-M,The Last Survivor,Survivors,Rare,Creature,Myth,6,0,0,"[Last Stand] Character — While your HP ≤ 10, Units you control get +1/+0. At the start of combat, gain 1 Energy.",The last survivor left after an attack. Grows stronger in adversity.,SRP: Bitterroot
100,SRP-BR-008-A-R,Relic of Ash,Survivors,Rare,Artifact,Relic,4,0,0,"[Relic of Ash] Artifact — (Pay: Tap, Sacrifice this) → Deal 1 dmg to each enemy Unit; you gain 1 HP. Whenever this enters play, add 1 Resource of any type. Once per turn, add 1 Resource of any type.",A relic hidden within the ash of a destroyed settlement.,SRP: Bitterroot
101,SRP-BR-001-L-U,EspenLock Data Node,EspenLock,Common,Land,Utility,0,0,0,"Tap: Add 1 Energy to your pool. At the start of combat, search your deck for a Resource and add it to your hand.",Before the fall thousands of these were set up across the world creating a mesh network.,SRP: Bitterroot
102,SRP-BR-003-S-R,Override Protocol,EspenLock,Uncommon,Spell,Ritual,2,0,0,"[Self Destruct] Send 2 enemy Land cards to the graveyard. If you control another Faction card, heal 2 dmg from a target unit. Discard this card.",Always have a backup plan.,SRP: Bitterroot
103,SRP-BR-003-S-A,Corporate Mandate,EspenLock,Rare,Spell,Aura,3,0,0,"If you control another Faction card, prevent the next 1 dmg to a friendly unit. If you control another Faction card, create a 1/1 Token under your control.","When something needs to be done, force it.",SRP: Bitterroot
104,SRP-BR-002-L-U,STAG Munitions Depot,STAG,Common,Land,Utility,0,0,0,"Tap: Add 1 Munitions to your pool. If you control another Faction card, search your deck for a Resource. At the start of combat, search your deck for a Resource.",These well fortified depots contain more ammo than most militaries.,SRP: Bitterroot
105,SRP-BR-004-S-R,Suppressive Fire,STAG,Uncommon,Spell,Ritual,2,0,0,Tap: draw 1 card. Pay 1 Munitions → search your deck for a Resource.,Shock in awe in the face of overwhelming firepower.,SRP: Bitterroot
106,SRP-BR-004-S-A,War Doctrine: Iron March,STAG,Rare,Spell,Aura,3,0,0,"If you control another Faction card, draw 1 card. Tap: tap target enemy unit.",It is fabled that STAG units are forced to walk coast to coast for their final test.,SRP: Bitterroot
107,SRP-BR-003-L-U,COW Shrine of Bitterroot,COW,Common,Land,Utility,0,0,0,"Tap: Add 1 Faith to your pool. When this leaves play, add 1 Resource of any type. Once per turn, gain 1 Faith.",When the church builds a shrine it is only a matter of time until the rest come.,SRP: Bitterroot
108,SRP-BR-005-S-R,Chant of Binding,COW,Uncommon,Spell,Ritual,2,0,0,"At the start of combat, discard 1 card. When this leaves play, tap target enemy unit.",One voice turns into many until we are all one.,SRP: Bitterroot
109,SRP-BR-005-S-A,Ritual of Ashes,COW,Rare,Spell,Aura,3,0,0,"When this leaves play, reveal the top card of your deck, you may play it. When this leaves play, return target card from graveyard to your hand.",Out of the ashes comes strength,SRP: Bitterroot
110,SRP-BR-004-L-U,Survivors Supply Cache,Survivors,Common,Land,Utility,0,0,0,"Tap: Add 1 Supplies to your pool. Tap: reveal the top card of your deck, you may play it.",It is well known the survivors hide supply caches in the wild but no one can find any other than them.,SRP: Bitterroot
111,SRP-BR-006-S-R,Scavenge the Ruins,Survivors,Uncommon,Spell,Ritual,2,0,0,"If you control another Faction card, prevent the next 1 dmg to a friendly unit.","After 20 years in the apocalypse, scavenging ruins is second hand nature.",SRP: Bitterroot
112,SRP-BR-006-S-A,Campfire Tales,Survivors,Rare,Spell,Aura,3,0,0,"Tap: return target card from graveyard to your hand. If you control another Faction card, tap target enemy unit.",Everyone loves a good story,SRP: Bitterroot
113,SRP-BR-007-S-R,System Reboot,EspenLock,Uncommon,Spell,Ritual,4,0,0,"Return target unit to its owner's hand. Whenever this enters play, discard 1 card. If you control another Faction card, create a 1/1 Token under your control.","Even in the apocalypse, turning it off and on again is incredibly effective.",SRP: Bitterroot
114,SRP-BR-008-S-R,Power Surge,EspenLock,Uncommon,Spell,Ritual,4,0,0,"Deal 2 dmg to any target. Draw a card. Once per turn, discard 1 card.",A quick burst of energy can be the different between life and death.,SRP: Bitterroot
115,SRP-BR-009-S-R,Coordinated Assault,STAG,Uncommon,Spell,Ritual,3,0,0,"Give all STAG units +1 Power until end of turn. Whenever this enters play, gain 1 Munitions.",The coordination of STAG infantry is unmatched.,SRP: Bitterroot
116,SRP-BR-010-S-R,Heavy Barrage,STAG,Uncommon,Spell,Ritual,3,0,0,"Deal 3 dmg divided as you choose among any number of targets. When this leaves play, tap target enemy unit.",A strike one after the other with no end in sight.,SRP: Bitterroot
117,SRP-BR-011-S-R,Prayer of Restoration,COW,Uncommon,Spell,Ritual,4,0,0,"Gain 3 life. When this leaves play, search your deck for a Resource.",Reports from the battle say that mutants can rejuvinate from their injuries from prayer alone.,SRP: Bitterroot
118,SRP-BR-012-S-R,Ashes to Ashes,COW,Uncommon,Spell,Ritual,3,0,0,"Destroy target non-mutant unit. If you control another Faction card, search your deck for a Resource.","Trial by fire, tested by loyalty.",SRP: Bitterroot
119,SRP-BR-013-S-R,Make Do,Survivors,Uncommon,Spell,Ritual,1,0,0,"Draw 2 cards, then discard a card. When this leaves play, discard 1 card. Pay 1 Supplies → return target card from graveyard to your hand.",When all hope is lost we learn to make do with what we have.,SRP: Bitterroot
120,SRP-BR-014-S-R,Ambush,Survivors,Uncommon,Spell,Ritual,1,0,0,"Deal 2 dmg to target attacking unit. Once per turn, prevent the next 1 dmg to a friendly unit.",Strength can be defeated with cunning strikes.,SRP: Bitterroot
121,SRP-BR-007-S-A,Shareholder Dividends,EspenLock,Rare,Spell,Aura,4,0,0,"At the start of your turn, gain 1 Energy. Pay 1 Energy → draw 1 card. Once per turn, gain 1 Energy.",The basis of any great business is profits shared with its shareholders.,SRP: Bitterroot
122,SRP-BR-008-S-A,Corporate Espionage,EspenLock,Rare,Spell,Aura,4,0,0,"Whenever an opponent draws a card, you may draw a card. Whenever this enters play, add 1 Resource of any type. Pay 1 Energy → prevent the next 1 dmg to a friendly unit.","If you cannot innovate, get even.",SRP: Bitterroot
123,SRP-BR-009-S-A,Steel Discipline,STAG,Rare,Spell,Aura,5,0,0,"Your units get +0/+1. Pay 1 Munitions → reveal the top card of your deck, you may play it. If you control another Faction card, add 1 Resource of any type.","As warriors become battle hardened, they learn to armor the weak parts of their bodies.",SRP: Bitterroot
124,SRP-BR-010-S-A,Arms Race,STAG,Rare,Spell,Aura,2,0,0,"Whenever you play a Tactic, create a 1/1 STAG Soldier token. Once per turn, reveal the top card of your deck, you may play it. Tap: create a 2/2 Token under your control.",Anything you can build I can build bigger.,SRP: Bitterroot
125,SRP-BR-011-S-A,Chant of Sacrifice,COW,Rare,Spell,Aura,3,0,0,"Whenever one of your units dies, gain 1 Faith. Once per turn, add 1 Resource of any type. When this leaves play, draw 1 card.",Sacrifice sanctifies the broken world.,SRP: Bitterroot
126,SRP-BR-012-S-A,Zealot's Fire,COW,Rare,Spell,Aura,4,0,0,"Your Faith costs are reduced by 1. When this leaves play, create a 1/1 Token under your control. Once per turn, discard 1 card.",My life for ire.,SRP: Bitterroot
127,SRP-BR-013-S-A,Scavenger's Resilience,Survivors,Rare,Spell,Aura,2,0,0,"Your Survivors have +1/+0. Once per turn, add 1 Resource of any type. When this leaves play, return target card from graveyard to your hand.","We endure because we must, not because we can.",SRP: Bitterroot
128,SRP-BR-014-S-A,Trade Network,Survivors,Rare,Spell,Aura,2,0,0,"At the end of your turn, if you gained Supplies, draw a card. At the start of combat, reveal the top card of your deck, you may play it.",Hope is a rationed commodity.,SRP: Bitterroot
129,SRP-BR-001-S-M,AI: OMNIS,EspenLock,Legendary,Spell,Myth,7,0,0,"At the start of your turn, add 2 Energy.
Whenever you play a Tactic, you may copy it. If you control another Faction card, create a 1/1 Token under your control.","Some say the AI began the apocalypse, leading man to his doom.",SRP: Bitterroot
130,SRP-BR-002-S-M,Total War Doctrine,STAG,Legendary,Spell,Myth,8,0,0,"All STAG units you control get +2 Power.
Whenever you play a Resource, destroy target enemy Resource. At the start of combat, heal 2 dmg from a target unit.",There are no rules in war.,SRP: Bitterroot
131,SRP-BR-003-S-M,Apocalyptic Rite,COW,Legendary,Spell,Myth,9,0,0,"At the beginning of each upkeep, each player sacrifices a unit.
Whenever a unit dies, gain 1 Faith and each opponent loses 1 life. Tap: prevent the next 1 dmg to a friendly unit. Pay 1 Faith → draw 1 card.",The end of the world forged new brothers and sisters.,SRP: Bitterroot
132,SRP-BR-004-S-M,The Bitterroot Accord,Survivors,Legendary,Spell,Myth,7,0,0,"Survivor units you control get +2/+2.
Whenever you gain Supplies, draw a card. When this leaves play, draw 1 card.","Absolving the survivors of wrongdoing, the Bitterroot Accord is a fresh start.",SRP: Bitterroot
133,SRP-BR-001-L-D,EspenLock-STAG Border Post,Special,Uncommon,Land,Dual,0,0,0,"Tap: Add 1 EspenLock resource or 1 STAG resource. If you control another Faction card, discard 1 card.",Post mutant expansionism creates strange bedfellows.,SRP: Bitterroot
134,SRP-BR-002-L-D,STAG-COW Border Post,Special,Uncommon,Land,Dual,0,0,0,"Tap: Add 1 STAG resource or 1 COW resource. When this leaves play, search your deck for a Resource.",A good deal is a good deal.,SRP: Bitterroot
135,SRP-BR-003-L-D,Survivors-COW Border Post,Special,Uncommon,Land,Dual,0,0,0,"Tap: Add 1 Survivors resource or 1 COW resource. Tap: reveal the top card of your deck, you may play it. When this leaves play, gain 1 Energy.",The survivors are no stranger to trading with the enemy. Trade is the lifeblood of politics.,SRP: Bitterroot
136,SRP-BR-004-L-D,Survivors-EspenLock Border Post,Special,Uncommon,Land,Dual,0,0,0,"Tap: Add 1 Survivors resource or 1 EspenLock resource. Once per turn, search your deck for a Resource.","When EspenLock needs something specialized, they call the survivors.",SRP: Bitterroot
137,SRP-BR-005-L-D,Survivors-STAG Border Post,Special,Uncommon,Land,Dual,0,0,0,"Tap: Add 1 Survivors resource or 1 STAG resource. Once per turn, tap target enemy unit. If you control another Faction card, gain 1 Energy.",STAG relies on well defined trade routes between the survivors.,SRP: Bitterroot
138,SRP-BR-001-L-W,EspenLock Wildcard Post,Special,Rare,Land,Wildcard,0,0,0,"Tap: Add 1 of any resource. When this leaves play, gain 1 Energy. At the start of combat, create a 1/1 Token under your control.",Prototype resource printers are a rare sight.,SRP: Bitterroot
139,SRP-BR-002-L-W,STAG Wildcard Post,Special,Rare,Land,Wildcard,0,0,0,"Tap: Add 1 of any resource. Once per turn, search your deck for a Resource. Tap: tap target enemy unit.",Many battles fought by STAG have been won with smart supply lines.,SRP: Bitterroot
140,SRP-BR-001-L-O,COW Flower,Special,Legendary,Land,Omni,0,0,0,"Tap: Add 1 of each resource. When this leaves play, discard 1 card.","Capable of consuming anything, the flower transforms energy into matter.",SRP: Bitterroot
141,SRP-BR-005-A-E,Wasteland Compass,Special,Uncommon,Artifact,Equipment,2,0,0,"Tap: Search your deck for a Resource card, reveal it, then shuffle and put it into your hand. When this leaves play, reveal the top card of your deck, you may play it. Whenever this enters play, search your deck for a Resource.",An important piece of equipment for any survivor.,SRP: Bitterroot
142,SRP-BR-006-A-E,Rusty Cache,Special,Uncommon,Artifact,Equipment,2,0,0,"Tap: Add 1 resource of any type. Activate only once each turn. If you control another Faction card, return target card from graveyard to your hand. Once per turn, search your deck for a Resource.",Sometimes you get lucky and find exactly what you need at the right time.,SRP: Bitterroot
143,SRP-BR-007-A-E,Banner of the Valley,Special,Uncommon,Artifact,Equipment,2,0,0,"Units you control get +1 Power. Once per turn, reveal the top card of your deck, you may play it.",A symbol so powerful it rallies all who see.,SRP: Bitterroot
144,SRP-BR-008-A-E,Ash Mask,Special,Uncommon,Artifact,Equipment,2,0,0,Prevent 1 dmg that would be dealt to you each turn. Tap: add 1 Resource of any type.,Forged from the ashes of ten-thousand battles.,SRP: Bitterroot
145,SRP-BR-009-A-E,Survival Tools,Special,Uncommon,Artifact,Equipment,2,0,0,"Tap: Target unit gains +0/+2 until end of turn. When this leaves play, tap target enemy unit.",Important tools to bring on your journey.,SRP: Bitterroot
146,SRP-BR-010-A-E,Broken Drone Core,Special,Uncommon,Artifact,Equipment,2,0,0,"Sacrifice: Draw 2 cards, then discard 1 card. Whenever this enters play, return target card from graveyard to your hand.",The remains of a broken drone.,SRP: Bitterroot
147,SRP-BR-001-S-G,Ashstorm,Special,Rare,Spell,Global,4,0,0,"Deal 2 dmg to all units. Pay 1 Energy → reveal the top card of your deck, you may play it. Pay 1 Resource → gain 1 Energy.","Some storms are big, some are small, all are dangerous.",SRP: Bitterroot
148,SRP-BR-002-S-G,Supply Drop,Special,Rare,Spell,Global,4,0,0,"Each player draws 2 cards. When this leaves play, heal 2 dmg from a target unit. Pay 1 Supplies → reveal the top card of your deck, you may play it.",Clear the area for a drop!,SRP: Bitterroot
149,SRP-BR-003-S-G,Communications Blackout,Special,Rare,Spell,Global,4,0,0,"Players cannot play Tactics until your next turn. At the start of combat, search your deck for a Resource. At the start of combat, search your deck for a Resource.",Blackout conditions to gain the advantage.,SRP: Bitterroot
150,SRP-BR-004-S-G,Collapse of Bitterroot,Special,Rare,Spell,Global,4,0,0,"Destroy all Resources, then each player may play 1 Resource from their hand. Once per turn, prevent the next 1 dmg to a friendly unit. When this leaves play, gain 1 Energy.","When the mutant scourage finally washes over the valley, there will be nothing left.",SRP: Bitterroot
